Team,wRC+,Year
HOU,102,2005
HOU,96,2006
HOU,97,2007
HOU,106,2008
HOU,99,2009
HOU,84,2010
HOU,94,2011
HOU,90,2012
HOU,83,2013
HOU,106,2014
HOU,119,2015
HOU,100,2016
HOU,121,2017
HOU,108,2018
HOU,138,2019
HOU,106,2020
MIA,97,2006
MIA,107,2007
MIA,92,2008
MIA,103,2009
MIA,92,2010
MIA,92,2011
MIA,90,2012
MIA,77,2013
MIA,103,2014
MIA,92,2015
MIA,92,2016
MIA,103,2017
MIA,84,2018
MIA,87,2019
MIA,97,2020
SDP,99,2003
SDP,102,2004
SDP,100,2005
SDP,96,2006
SDP,94,2007
SDP,95,2008
SDP,90,2009
SDP,98,2010
SDP,88,2011
SDP,101,2012
SDP,94,2013
SDP,90,2014
SDP,99,2015
SDP,90,2016
SDP,87,2017
SDP,90,2018
SDP,84,2019
SDP,127,2020
SEA,106,2003
SEA,92,2004
SEA,96,2005
SEA,96,2006
SEA,104,2007
SEA,97,2008
SEA,93,2009
SEA,82,2010
SEA,83,2011
SEA,83,2012
SEA,99,2013
SEA,94,2014
SEA,103,2015
SEA,115,2016
SEA,110,2017
SEA,95,2018
SEA,98,2019
SEA,89,2020
ATL,101,2004
ATL,114,2005
ATL,104,2006
ATL,97,2007
ATL,105,2008
ATL,95,2009
ATL,108,2010
ATL,102,2011
ATL,98,2012
ATL,111,2013
ATL,88,2014
ATL,86,2015
ATL,87,2016
ATL,86,2017
ATL,93,2018
ATL,107,2019
ATL,129,2020
MIN,101,2002
MIN,104,2003
MIN,99,2004
MIN,94,2005
MIN,107,2006
MIN,90,2007
MIN,108,2008
MIN,111,2009
MIN,110,2010
MIN,83,2011
MIN,107,2012
MIN,91,2013
MIN,105,2014
MIN,99,2015
MIN,92,2016
MIN,112,2017
MIN,105,2018
MIN,111,2019
MIN,100,2020
