Team,wOBA,Year
HOU,.335,2005
HOU,.330,2006
HOU,.332,2007
HOU,.338,2008
HOU,.327,2009
HOU,.300,2010
HOU,.310,2011
HOU,.306,2012
HOU,.295,2013
HOU,.316,2014
HOU,.336,2015
HOU,.309,2016
HOU,.344,2017
HOU,.318,2018
HOU,.366,2019
HOU,.314,2020
MIA,.327,2006
MIA,.349,2007
MIA,.324,2008
MIA,.341,2009
MIA,.320,2010
MIA,.313,2011
MIA,.302,2012
MIA,.281,2013
MIA,.318,2014
MIA,.300,2015
MIA,.298,2016
MIA,.321,2017
MIA,.282,2018
MIA,.292,2019
MIA,.302,2020
SDP,.314,2003
SDP,.315,2004
SDP,.311,2005
SDP,.308,2006
SDP,.303,2007
SDP,.303,2008
SDP,.293,2009
SDP,.302,2010
SDP,.281,2011
SDP,.301,2012
SDP,.297,2013
SDP,.288,2014
SDP,.304,2015
SDP,.302,2016
SDP,.301,2017
SDP,.297,2018
SDP,.294,2019
SDP,.355,2020
SEA,.326,2003
SEA,.309,2004
SEA,.312,2005
SEA,.318,2006
SEA,.331,2007
SEA,.315,2008
SEA,.312,2009
SEA,.280,2010
SEA,.278,2011
SEA,.276,2012
SEA,.306,2013
SEA,.294,2014
SEA,.311,2015
SEA,.328,2016
SEA,.327,2017
SEA,.301,2018
SEA,.308,2019
SEA,.291,2020
ATL,.336,2004
ATL,.351,2005
ATL,.344,2006
ATL,.331,2007
ATL,.338,2008
ATL,.321,2009
ATL,.339,2010
ATL,.320,2011
ATL,.317,2012
ATL,.330,2013
ATL,.299,2014
ATL,.298,2015
ATL,.305,2016
ATL,.313,2017
ATL,.315,2018
ATL,.343,2019
ATL,.369,2020
MIN,.337,2002
MIN,.340,2003
MIN,.333,2004
MIN,.317,2005
MIN,.341,2006
MIN,.314,2007
MIN,.339,2008
MIN,.347,2009
MIN,.341,2010
MIN,.298,2011
MIN,.330,2012
MIN,.308,2013
MIN,.326,2014
MIN,.323,2015
MIN,.315,2016
MIN,.343,2017
MIN,.328,2018
MIN,.341,2019
MIN,.319,2020
